id,pct_change,sentiment,title,subtitle,body,url,date_s,date
ripple,-5.19,NEGATIVE,XRP Sell Pressure Emerges as Ripple Linked Token Fails to Sustain $2.12 Break,"Despite briefly reaching $2.17, XRP failed to maintain momentum, suggesting large holders may be unwinding positions rather than accumulating.","Despite briefly reaching $2.17, XRP failed to maintain momentum, suggesting large holders may be unwinding positions rather than accumulating.",https://www.coindesk.com/markets/2025/12/10/xrp-sell-pressure-emerges-as-ripple-linked-token-fails-to-sustain-usd2-12-break,1765346417,2025-12-10 06:00:17
solana,-5.24,POSITIVE,State Street and Galaxy to Launch Tokenized Liquidity Fund on Solana in 2026,The fund will run on Solana at launch and use PYUSD.,The fund will run on Solana at launch and use PYUSD.,https://www.coindesk.com/markets/2025/12/10/state-street-and-galaxy-to-launch-tokenized-liquidity-fund-on-solana-in-2026,1765405800,2025-12-10 22:30:00
solana,-5.24,POSITIVE,Bhutan Debuts TER Gold-Backed Token on Solana,"The Himalayan kingdom introduced TER, a Solana-based token backed by physical gold and issued through Gelephu Mindfulness City.","The Himalayan kingdom introduced TER, a Solana-based token backed by physical gold and issued through Gelephu Mindfulness City.",https://www.coindesk.com/business/2025/12/10/bhutan-debuts-ter-gold-backed-token-on-solana,1765418400,2025-12-11 02:00:00
solana,-5.13,POSITIVE,"XRP Lands on Solana, Ethereum and Others, in Boost for Ripple Ecosystem","Wrapped XRP will be tradable on Solana, Ethereum and other chains, allowing exposure across DeFi applications without unregulated third-party bridges.","Wrapped XRP will be tradable on Solana, Ethereum and other chains, allowing exposure across DeFi applications without unregulated third-party bridges.",https://www.coindesk.com/markets/2025/12/12/xrp-lands-on-solana-ethereum-and-others-in-boost-for-ripple-ecosystem,1765514700,2025-12-12 04:45:00
solana,-5.13,POSITIVE,"Backed, Chainlink Unveil xBridge to Move Tokenized Stocks Between Solana and Ethereum","The bridge uses Chainlinks CCIP to ensure consistent behavior across chains, mirroring the behavior of underlying assets.","The bridge uses Chainlinks CCIP to ensure consistent behavior across chains, mirroring the behavior of underlying assets.",https://www.coindesk.com/web3/2025/12/12/backed-chainlink-launch-xbridge-to-move-tokenized-stocks-between-solana-and-ethereum,1765551600,2025-12-12 15:00:00
solana,5.7,POSITIVE,JPMorgan Pushes Deeper Into Tokenization With Galaxys Debt Issuance on Solana,"Galaxy’s onchain debt deal, where JP Morgan acted as arranger, was settled in USDC stablecoin and backed by Coinbase and Franklin Templeton.","Galaxy’s onchain debt deal, where JP Morgan acted as arranger, was settled in USDC stablecoin and backed by Coinbase and Franklin Templeton.",https://www.coindesk.com/business/2025/12/11/jpmorgan-pushes-deeper-into-tokenization-with-galaxy-s-debt-issuance-on-solana,1765480590,2025-12-11 19:16:30
solana,5.7,POSITIVE,"XRP Lands on Solana, Ethereum and Others, in Boost for Ripple Ecosystem","Wrapped XRP will be tradable on Solana, Ethereum and other chains, allowing exposure across DeFi applications without unregulated third-party bridges.","Wrapped XRP will be tradable on Solana, Ethereum and other chains, allowing exposure across DeFi applications without unregulated third-party bridges.",https://www.coindesk.com/markets/2025/12/12/xrp-lands-on-solana-ethereum-and-others-in-boost-for-ripple-ecosystem,1765514700,2025-12-12 04:45:00
staked-ether,-5.45,POSITIVE,"Staked Ether Is Creating a Benchmark for the Crypto Economy, Says ARK Invest","The growing use of stETH in DeFi protocols means ether’s yield is slowly taking the role of the federal funds rate in the crypto ecosystem, according to a report from Ark Invest.","It’s hard for projects to beat the returns offered by staked ether on a risk-adjusted basis. Consequently, the asset and its yield are becoming a benchmark for the crypto economy in similar fashion to the fed funds rate and the traditional economy. Slowly but surely, staked ether (stETH) is becoming a benchmark for the entire on-chain economy. According to a new report from investment management firm ARK Invest, Ethereum’s monetary policy has turned staked ether into a unique type of asset – one that resembles sovereign bonds. “The ETH staking yield is a gauge for smart contract activity and economic cycles in the digital asset space, much like the fed funds rate in traditional finance,” wrote Lorenzo Valente, a research associate at ARK Invest. Comparing staked ether to sovereign bonds Ethereum is designed in such a way that ether {{ETH}} holders can stake their tokens, essentially locking them up in the network in exchange for a yield. At the time of writing, the yield on staked ether generating a 3.27% annualized yield, according to CoinDesk CESR data. Theres also a so-called liquid staking token, stETH, from the Lido project, that Ethereum stakers can redeploy into DeFi protocols. The fact that staked ether produces a yield makes the asset comparable to sovereign bonds, which are debt securities issued by governments to finance themselves. Investors can buy up this debt and earn interest on it over time. But staked ether differs from bonds in several crucial aspects, the report said. Some of the distinctions are positive. For example, while governments can default on their debt obligations – like Argentina did in 2020 – Ethereum cannot default on staked ether. The network is programmed to let users access their funds whenever they want, and the yield is designed to keep being issued no matter what happens, though the interest rate will vary depending on on-chain activity. Another big risk for bonds is inflation. If the government prints too much money, and the inflation rate outstrips the yield on bonds, investors end up losing purchasing power. Ether can also suffer from inflation (as is currently the case) if network activity slows down so much that ether issuance ends up exceeding the ether burn rate – a mechanism that removes a fraction of ether from circulation every time a transaction is made. However, on-chain data makes ether’s inflation rate much more transparent. Data aggregator ultrasound.money shows, for example, that in the last 30 days, ether’s supply expanded at a rate of 0.33% per year. But exposure to staked ether also comes with its own risks. Staked ether can be destroyed by the network, for example, if the used validators – entities with whom investors stake their ether; their role is to process transactions – suffer from an operational malfunction, or behave in a way that’s detrimental to the network. This is known as slashing. While government bonds come with political and regulatory risks, they aren’t going to be obliterated by an automatized system if anything goes awry. Finally, a major appeal of sovereign bonds is their lack of volatility. If the country issuing them is stable, they are usually deemed low-risk investments, and are even sometimes considered cash-like instruments. Ether itself is highly volatile: at the time of writing, the cryptocurrency was up 65% in the last 12 months. Naturally, that means staked ether cannot be classified by investors in the same low-risk category as bonds. “While both can be influenced by inflation, interest rate changes and currency depreciation, the nature of those risks and their implications can vary significantly,” the report said. “Additionally, ETH staking introduces unique risks related to network security, validator behavior, and smart contract bugs, which have no direct parallel in traditional sovereign bonds.” Growing use in DeFi Generally speaking, there are two different ways investors can stake their ether: by setting up their own validators, or by staking through specialized DeFi protocols like Lido {{LDO}} or Rocket Pool {{RPL}}. These protocols partner up with trusted validators and execute all the technical aspects of staking for their customers. Importantly, they also provide liquid staking tokens (LSTs), which represent the amount of ether that has been staked by the investor into the network. That’s a massive benefit, because while their ether is locked away earning yield, investors can keep using stETH tokens (the most popular LST) for additional purposes – for example, as collateral in lending protocols. That advantage is so great that stETH is beginning to replace ETH as the collateral of choice in the DeFi economy. “Today, stETH supplied as collateral in DeFi totals ~2.7 million, or roughly 31% of the entire stETH supply,” the report said, noting that investors prefer it to other crypto assets due to the “capital efficiency it offers users, liquidity providers and market makers.” “Currently the collateral of choice on Aave V3, Spark, and MakerDao, 1.3 million stETH, 598,000 stETH, and 420,000 stETH, respectively, are locked into those protocols and used as collateral to issue loans or crypto-backed stablecoins,” it added. Becoming the benchmark With stETH so widely used across the biggest DeFi protocols, staked ether is slowly forcing the rest of the crypto financial ecosystem to reorganize itself, the report argued. That’s because projects need to convince investors that, on a risk-adjusted basis, their own assets will offer higher returns than simply staking ether, and compounding those returns, will provide. “If the ETH yield is 4% after compounding over seven years, [a] closed-end fund would have to outperform ETH more than 31% [over that period of time], even without taking into account price appreciation,” the report said. It’s one of the reasons why competing Layer 1 projects – like Solana {{SOL}} or Avalanche {{AVAX}} – all offer higher interest rates for investors to stake their tokens. The implication is that these assets are riskier and more volatile, and investors need to be incentivized with higher yields to hold them in the long run. The demand for staked ether has also put pressure on DeFi protocols in the business of lending stablecoins, according to ARK Invest. For example, Sky {{SKY}} (formerly MakerDAO) was forced to increase the interest rate on locked DAI (the protocol’s native stablecoin) following significant selling pressure and a decrease in its circulating supply, the report said. Furthermore, on Aave {{AAVE}} and Compound {{COMP}} investors are seeing increased rewards for lending stablecoins – because users would rather lend stETH and borrow stablecoins, than lend stablecoins directly. In other words, the more stETH captures market share, the more the crypto economy will begin making choices based on staked ether’s yield. And that means staked ether could play the same role in crypto as the Federal Reserve’s funding rate does in the global financial system.",https://coindesk.com/markets/2024/10/17/staked-ether-is-creating-a-benchmark-for-the-crypto-economy-says-ark-invest,1729192015,2024-10-17 19:06:55
staked-ether,-5.45,POSITIVE,BlackRock Takes First Step Toward a Staked Ether ETF,A new Delaware filing for the iShares Staked Ethereum Trust signals BlackRock’s intent to enter the yield-bearing ether market as issuers wait for SEC clarity on staking.,A new Delaware filing for the iShares Staked Ethereum Trust signals BlackRock’s intent to enter the yield-bearing ether market as issuers wait for SEC clarity on staking.,https://www.coindesk.com/markets/2025/11/20/blackrock-takes-first-step-toward-a-staked-eth-etf,1763624271,2025-11-20 07:37:51
staked-ether,-5.12,POSITIVE,"Staked Ether Is Creating a Benchmark for the Crypto Economy, Says ARK Invest","The growing use of stETH in DeFi protocols means ether’s yield is slowly taking the role of the federal funds rate in the crypto ecosystem, according to a report from Ark Invest.","It’s hard for projects to beat the returns offered by staked ether on a risk-adjusted basis. Consequently, the asset and its yield are becoming a benchmark for the crypto economy in similar fashion to the fed funds rate and the traditional economy. Slowly but surely, staked ether (stETH) is becoming a benchmark for the entire on-chain economy. According to a new report from investment management firm ARK Invest, Ethereum’s monetary policy has turned staked ether into a unique type of asset – one that resembles sovereign bonds. “The ETH staking yield is a gauge for smart contract activity and economic cycles in the digital asset space, much like the fed funds rate in traditional finance,” wrote Lorenzo Valente, a research associate at ARK Invest. Comparing staked ether to sovereign bonds Ethereum is designed in such a way that ether {{ETH}} holders can stake their tokens, essentially locking them up in the network in exchange for a yield. At the time of writing, the yield on staked ether generating a 3.27% annualized yield, according to CoinDesk CESR data. Theres also a so-called liquid staking token, stETH, from the Lido project, that Ethereum stakers can redeploy into DeFi protocols. The fact that staked ether produces a yield makes the asset comparable to sovereign bonds, which are debt securities issued by governments to finance themselves. Investors can buy up this debt and earn interest on it over time. But staked ether differs from bonds in several crucial aspects, the report said. Some of the distinctions are positive. For example, while governments can default on their debt obligations – like Argentina did in 2020 – Ethereum cannot default on staked ether. The network is programmed to let users access their funds whenever they want, and the yield is designed to keep being issued no matter what happens, though the interest rate will vary depending on on-chain activity. Another big risk for bonds is inflation. If the government prints too much money, and the inflation rate outstrips the yield on bonds, investors end up losing purchasing power. Ether can also suffer from inflation (as is currently the case) if network activity slows down so much that ether issuance ends up exceeding the ether burn rate – a mechanism that removes a fraction of ether from circulation every time a transaction is made. However, on-chain data makes ether’s inflation rate much more transparent. Data aggregator ultrasound.money shows, for example, that in the last 30 days, ether’s supply expanded at a rate of 0.33% per year. But exposure to staked ether also comes with its own risks. Staked ether can be destroyed by the network, for example, if the used validators – entities with whom investors stake their ether; their role is to process transactions – suffer from an operational malfunction, or behave in a way that’s detrimental to the network. This is known as slashing. While government bonds come with political and regulatory risks, they aren’t going to be obliterated by an automatized system if anything goes awry. Finally, a major appeal of sovereign bonds is their lack of volatility. If the country issuing them is stable, they are usually deemed low-risk investments, and are even sometimes considered cash-like instruments. Ether itself is highly volatile: at the time of writing, the cryptocurrency was up 65% in the last 12 months. Naturally, that means staked ether cannot be classified by investors in the same low-risk category as bonds. “While both can be influenced by inflation, interest rate changes and currency depreciation, the nature of those risks and their implications can vary significantly,” the report said. “Additionally, ETH staking introduces unique risks related to network security, validator behavior, and smart contract bugs, which have no direct parallel in traditional sovereign bonds.” Growing use in DeFi Generally speaking, there are two different ways investors can stake their ether: by setting up their own validators, or by staking through specialized DeFi protocols like Lido {{LDO}} or Rocket Pool {{RPL}}. These protocols partner up with trusted validators and execute all the technical aspects of staking for their customers. Importantly, they also provide liquid staking tokens (LSTs), which represent the amount of ether that has been staked by the investor into the network. That’s a massive benefit, because while their ether is locked away earning yield, investors can keep using stETH tokens (the most popular LST) for additional purposes – for example, as collateral in lending protocols. That advantage is so great that stETH is beginning to replace ETH as the collateral of choice in the DeFi economy. “Today, stETH supplied as collateral in DeFi totals ~2.7 million, or roughly 31% of the entire stETH supply,” the report said, noting that investors prefer it to other crypto assets due to the “capital efficiency it offers users, liquidity providers and market makers.” “Currently the collateral of choice on Aave V3, Spark, and MakerDao, 1.3 million stETH, 598,000 stETH, and 420,000 stETH, respectively, are locked into those protocols and used as collateral to issue loans or crypto-backed stablecoins,” it added. Becoming the benchmark With stETH so widely used across the biggest DeFi protocols, staked ether is slowly forcing the rest of the crypto financial ecosystem to reorganize itself, the report argued. That’s because projects need to convince investors that, on a risk-adjusted basis, their own assets will offer higher returns than simply staking ether, and compounding those returns, will provide. “If the ETH yield is 4% after compounding over seven years, [a] closed-end fund would have to outperform ETH more than 31% [over that period of time], even without taking into account price appreciation,” the report said. It’s one of the reasons why competing Layer 1 projects – like Solana {{SOL}} or Avalanche {{AVAX}} – all offer higher interest rates for investors to stake their tokens. The implication is that these assets are riskier and more volatile, and investors need to be incentivized with higher yields to hold them in the long run. The demand for staked ether has also put pressure on DeFi protocols in the business of lending stablecoins, according to ARK Invest. For example, Sky {{SKY}} (formerly MakerDAO) was forced to increase the interest rate on locked DAI (the protocol’s native stablecoin) following significant selling pressure and a decrease in its circulating supply, the report said. Furthermore, on Aave {{AAVE}} and Compound {{COMP}} investors are seeing increased rewards for lending stablecoins – because users would rather lend stETH and borrow stablecoins, than lend stablecoins directly. In other words, the more stETH captures market share, the more the crypto economy will begin making choices based on staked ether’s yield. And that means staked ether could play the same role in crypto as the Federal Reserve’s funding rate does in the global financial system.",https://coindesk.com/markets/2024/10/17/staked-ether-is-creating-a-benchmark-for-the-crypto-economy-says-ark-invest,1729192015,2024-10-17 19:06:55
staked-ether,-5.12,POSITIVE,BlackRock Takes First Step Toward a Staked Ether ETF,A new Delaware filing for the iShares Staked Ethereum Trust signals BlackRock’s intent to enter the yield-bearing ether market as issuers wait for SEC clarity on staking.,A new Delaware filing for the iShares Staked Ethereum Trust signals BlackRock’s intent to enter the yield-bearing ether market as issuers wait for SEC clarity on staking.,https://www.coindesk.com/markets/2025/11/20/blackrock-takes-first-step-toward-a-staked-eth-etf,1763624271,2025-11-20 07:37:51
staked-ether,6.53,POSITIVE,"Staked Ether Is Creating a Benchmark for the Crypto Economy, Says ARK Invest","The growing use of stETH in DeFi protocols means ether’s yield is slowly taking the role of the federal funds rate in the crypto ecosystem, according to a report from Ark Invest.","It’s hard for projects to beat the returns offered by staked ether on a risk-adjusted basis. Consequently, the asset and its yield are becoming a benchmark for the crypto economy in similar fashion to the fed funds rate and the traditional economy. Slowly but surely, staked ether (stETH) is becoming a benchmark for the entire on-chain economy. According to a new report from investment management firm ARK Invest, Ethereum’s monetary policy has turned staked ether into a unique type of asset – one that resembles sovereign bonds. “The ETH staking yield is a gauge for smart contract activity and economic cycles in the digital asset space, much like the fed funds rate in traditional finance,” wrote Lorenzo Valente, a research associate at ARK Invest. Comparing staked ether to sovereign bonds Ethereum is designed in such a way that ether {{ETH}} holders can stake their tokens, essentially locking them up in the network in exchange for a yield. At the time of writing, the yield on staked ether generating a 3.27% annualized yield, according to CoinDesk CESR data. Theres also a so-called liquid staking token, stETH, from the Lido project, that Ethereum stakers can redeploy into DeFi protocols. The fact that staked ether produces a yield makes the asset comparable to sovereign bonds, which are debt securities issued by governments to finance themselves. Investors can buy up this debt and earn interest on it over time. But staked ether differs from bonds in several crucial aspects, the report said. Some of the distinctions are positive. For example, while governments can default on their debt obligations – like Argentina did in 2020 – Ethereum cannot default on staked ether. The network is programmed to let users access their funds whenever they want, and the yield is designed to keep being issued no matter what happens, though the interest rate will vary depending on on-chain activity. Another big risk for bonds is inflation. If the government prints too much money, and the inflation rate outstrips the yield on bonds, investors end up losing purchasing power. Ether can also suffer from inflation (as is currently the case) if network activity slows down so much that ether issuance ends up exceeding the ether burn rate – a mechanism that removes a fraction of ether from circulation every time a transaction is made. However, on-chain data makes ether’s inflation rate much more transparent. Data aggregator ultrasound.money shows, for example, that in the last 30 days, ether’s supply expanded at a rate of 0.33% per year. But exposure to staked ether also comes with its own risks. Staked ether can be destroyed by the network, for example, if the used validators – entities with whom investors stake their ether; their role is to process transactions – suffer from an operational malfunction, or behave in a way that’s detrimental to the network. This is known as slashing. While government bonds come with political and regulatory risks, they aren’t going to be obliterated by an automatized system if anything goes awry. Finally, a major appeal of sovereign bonds is their lack of volatility. If the country issuing them is stable, they are usually deemed low-risk investments, and are even sometimes considered cash-like instruments. Ether itself is highly volatile: at the time of writing, the cryptocurrency was up 65% in the last 12 months. Naturally, that means staked ether cannot be classified by investors in the same low-risk category as bonds. “While both can be influenced by inflation, interest rate changes and currency depreciation, the nature of those risks and their implications can vary significantly,” the report said. “Additionally, ETH staking introduces unique risks related to network security, validator behavior, and smart contract bugs, which have no direct parallel in traditional sovereign bonds.” Growing use in DeFi Generally speaking, there are two different ways investors can stake their ether: by setting up their own validators, or by staking through specialized DeFi protocols like Lido {{LDO}} or Rocket Pool {{RPL}}. These protocols partner up with trusted validators and execute all the technical aspects of staking for their customers. Importantly, they also provide liquid staking tokens (LSTs), which represent the amount of ether that has been staked by the investor into the network. That’s a massive benefit, because while their ether is locked away earning yield, investors can keep using stETH tokens (the most popular LST) for additional purposes – for example, as collateral in lending protocols. That advantage is so great that stETH is beginning to replace ETH as the collateral of choice in the DeFi economy. “Today, stETH supplied as collateral in DeFi totals ~2.7 million, or roughly 31% of the entire stETH supply,” the report said, noting that investors prefer it to other crypto assets due to the “capital efficiency it offers users, liquidity providers and market makers.” “Currently the collateral of choice on Aave V3, Spark, and MakerDao, 1.3 million stETH, 598,000 stETH, and 420,000 stETH, respectively, are locked into those protocols and used as collateral to issue loans or crypto-backed stablecoins,” it added. Becoming the benchmark With stETH so widely used across the biggest DeFi protocols, staked ether is slowly forcing the rest of the crypto financial ecosystem to reorganize itself, the report argued. That’s because projects need to convince investors that, on a risk-adjusted basis, their own assets will offer higher returns than simply staking ether, and compounding those returns, will provide. “If the ETH yield is 4% after compounding over seven years, [a] closed-end fund would have to outperform ETH more than 31% [over that period of time], even without taking into account price appreciation,” the report said. It’s one of the reasons why competing Layer 1 projects – like Solana {{SOL}} or Avalanche {{AVAX}} – all offer higher interest rates for investors to stake their tokens. The implication is that these assets are riskier and more volatile, and investors need to be incentivized with higher yields to hold them in the long run. The demand for staked ether has also put pressure on DeFi protocols in the business of lending stablecoins, according to ARK Invest. For example, Sky {{SKY}} (formerly MakerDAO) was forced to increase the interest rate on locked DAI (the protocol’s native stablecoin) following significant selling pressure and a decrease in its circulating supply, the report said. Furthermore, on Aave {{AAVE}} and Compound {{COMP}} investors are seeing increased rewards for lending stablecoins – because users would rather lend stETH and borrow stablecoins, than lend stablecoins directly. In other words, the more stETH captures market share, the more the crypto economy will begin making choices based on staked ether’s yield. And that means staked ether could play the same role in crypto as the Federal Reserve’s funding rate does in the global financial system.",https://coindesk.com/markets/2024/10/17/staked-ether-is-creating-a-benchmark-for-the-crypto-economy-says-ark-invest,1729192015,2024-10-17 19:06:55
staked-ether,6.53,POSITIVE,BlackRock Takes First Step Toward a Staked Ether ETF,A new Delaware filing for the iShares Staked Ethereum Trust signals BlackRock’s intent to enter the yield-bearing ether market as issuers wait for SEC clarity on staking.,A new Delaware filing for the iShares Staked Ethereum Trust signals BlackRock’s intent to enter the yield-bearing ether market as issuers wait for SEC clarity on staking.,https://www.coindesk.com/markets/2025/11/20/blackrock-takes-first-step-toward-a-staked-eth-etf,1763624271,2025-11-20 07:37:51
tron,-5.03,POSITIVE,Coinbase CEO Armstrong Says Banks That Dont Adapt to Stablecoins Will Be Left Behind,"CEO Brian Armstrong said top banks are leaning into this as an opportunity, signaling Wall Street’s quiet embrace of crypto infrastructure.","CEO Brian Armstrong said top banks are leaning into this as an opportunity, signaling Wall Street’s quiet embrace of crypto infrastructure.",https://www.coindesk.com/business/2025/12/03/coinbase-is-partnering-with-major-u-s-banks-on-stablecoin-and-crypto-pilots,1764790409,2025-12-03 19:33:29
tron,-5.03,NEUTRAL,"XRP Slides as Traders Take Bitcoin Profits, With ETF Flows Still Strong","Institutional flows surged 54% above the weekly average, indicating strategic selling rather than retail panic.","Institutional flows surged 54% above the weekly average, indicating strategic selling rather than retail panic.",https://www.coindesk.com/markets/2025/12/11/xrp-slides-as-traders-take-bitcoin-profits-with-etf-flows-still-strong,1765430312,2025-12-11 05:18:32
